TEIDESAT.Time,TEIDESAT.TTGregorian,TEIDESAT.Earth.Latitude,TEIDESAT.Earth.Longitude,TEIDESAT.Earth.Altitude,TEIDESAT.Propagator1_ForceModel.Acceleration,TEIDESAT.Propagator1_ForceModel.AccelerationX,TEIDESAT.Propagator1_ForceModel.AccelerationY,TEIDESAT.Propagator1_ForceModel.AccelerationZ
1145.95,26 Sep 2024 10:43:10.107,-8.691824077599637,-59.39937408099533,260.4194254257554,0.009058648766789018,0.002549527932353063,-0.008585661589865432,0.001358469678170654
1146.05,26 Sep 2024 10:45:09.247,-1.758534077043126,-55.8707632174002,260.538593483041,0.009057888676589658,0.003177978428994067,-0.008477800505000205,0.0002696274833131904
1146.14,26 Sep 2024 10:47:09.267,5.234269153015068,-52.34631542345419,261.1569686681669,0.00905628697569155,0.003748174103821275,-0.008202141140598892,-0.0008321089971987531
1146.24,26 Sep 2024 10:49:11.828,12.34451750418451,-48.65390960865385,262.2836141782827,0.009053845414879209,0.004253525375989493,-0.00775365434793087,-0.001939196463784784
1146.33,26 Sep 2024 10:51:11.807,19.23367982811872,-44.8164121617226,263.8094998642755,0.00905079219902335,0.004663060050008374,-0.007160496458416088,-0.002983286923668005
1146.42,26 Sep 2024 10:53:11.925,26.01182633508197,-40.60043827565478,265.6588352358049,0.009047259029606689,0.004980713403565311,-0.00642630294087481,-0.003968377559210866
1146.52,26 Sep 2024 10:55:11.831,32.59786552514346,-35.82790734973247,267.7007272070159,0.009043477225873791,0.005199743954281792,-0.005568383600590372,-0.004872396455696527
1146.61,26 Sep 2024 10:57:12.915,38.98012000340892,-30.18236487367127,269.8147641509595,0.009039649690965145,0.005317573842033336,-0.004592963445087876,-0.005687122450059923
1146.7,26 Sep 2024 10:59:12.777,44.90978218300933,-23.44288634738034,271.8065360503169,0.009036107196207245,0.005330102868750902,-0.003538832414757918,-0.006381058047858554
1146.8,26 Sep 2024 11:01:13.189,50.29565577260466,-15.09426584128092,273.5575100922842,0.009033041675750111,0.005238597258541617,-0.002412092163182871,-0.006952319905970265
1146.89,26 Sep 2024 11:03:13.046,54.82355254610393,-4.752357664548873,274.9194835369035,0.009030700205725934,0.005046048341141495,-0.001244876474425255,-0.007385203105398261
1146.99,26 Sep 2024 11:05:13.786,58.1805027503235,8.00590445736986,275.7993988574262,0.009029238771915504,0.004753765102799238,-4.568638274852288e-05,-0.007676378241208657
1147.08,26 Sep 2024 11:07:13.821,59.91732490336123,22.6949149615115,276.1112712133763,0.009028806036674247,0.004371117093623228,0.001146985851285915,-0.007816463219300024
